	English	Japanese	English Sentence	Japanese Example	listening score	speaking score
4089	draw out, lure out	ひきだす	The teacher was able to draw out my abilities.	せんせい が わたし の のうりょく を <b>ひきだしてくれました</b>	0	0
4090	take over, take custody	ひきとる	She took custody of her son.	かのじょ は むすこ を <b>ひきとった</b> の	0	0
4091	discount	ねびき	I'll further discount the price by 1,000 yen.	あと 1000 えん <b>ねびき</b> しましょう	0	0
4092	be prolonged, drag on	ながびく	The conference seems to be dragging on.	かいぎ が <b>ながびいて</b> いる よう です	0	0
4093	marathon	マラソン	He participated in the marathon.	かれ は <b>まらそん</b> に しゅつじょう した よ	0	0
4094	drag along, trail	ひきずる	He's still dragging along the emotional baggage of a romantic breakup.	かれ は まだ しつれん を <b>ひきずって います</b>	0	0
4095	draw, drawn game	ひきわけ	This match is a tie.	この しょうぶ は <b>ひきわけ</b> です	0	0
4096	detain, keep	ひきとめる	I stalled my friend who was about to go home.	かえろう と する ともだち を <b>ひきとめた</b> ん だ	0	0
4097	original, initial@contribution, letter	とうしょ	According to the initial plan, it should have finished sooner.@I wrote in to the newspaper regarding that incident.	<b>とうしょ</b> の けいかく で は もっと はやく おわる はず でした@その じけん に ついて しんぶん に <b>とうしょ</b> した ん だ	0	0
4098	learn, follow someone's example	みならう	I'll follow his example and study harder.	かれ を <b>みならって</b> もっと べんきょう します	0	0
4099	getting used to, habituation	なれ	Getting used to the work is also necessary in any job.	しごと に は <b>なれ</b> も ひつよう です	0	0
4100	very, by far	よほど	Today's excursion seems to have been really good fun.	きょう の えんそく は <b>よほど</b> たのしかった らしい	0	0
4101	entrance examination	にゅうし	The high school entrance exam is tomorrow.	あした は こうこう の <b>にゅうし</b> です	0	0
4102	try, test	ためす	He tested the software.	かれ は その そふとうぇあ を <b>ためした</b> の	0	0
4103	trial, test	ためし	Try playing this tune, by way of experiment.	<b>ためし</b> に この きょく を ひいて みて ください	0	0
4104	experience	たいけん	Today, I had an unusual experience.	きょう めずらしい <b>たいけん</b> を しました	0	0
4105	matter, substance	ぶっしつ	This product contains a harmful chemical.	この せいひん は ゆうがい な かがく<b>ぶっしつ</b> を ふくんで いる わ よ	0	0
4106	rugby	ラグビー	When he was young, my father was a rugby player.	ちち は わかい ころ <b>らぐびー</b> の せんしゅ でした	0	0
4107	quality	ひんしつ	The products from this manufacturer are high-quality.	この めーかー の せいひん は こう<b>ひんしつ</b> だ わ ね	0	0
4108	essence, reality	ほんしつ	He understands the essence of the work well.	かれ は しごと の <b>ほんしつ</b> を よく りかい して いる わ ね	0	0
4109	inquire, contact	といあわせる	I'll inquire with my insurance company.	ほけん がいしゃ に <b>といあわせます</b>	0	0
4110	question, inquiry	とい	Can you answer this question?	この <b>とい</b> に こたえられます か	0	0
4111	rush, rush hour	ラッシュ	I take the train during rush hour every morning.	わたし は まいあさ <b>らっしゅ</b> の でんしゃ に のって います	0	0
4112	wholesale store, wholesaler	とんや	There are a lot of wholesale furniture stores in this town.	この まち に は かぐ の <b>とんや</b> が たくさん あります	0	0
4113	topic of conversation	わだい	This is the restaurant that we were talking about.	ここ が <b>わだい</b> の れすとらん です	0	0
4114	title	だいめい	"The title of this book is """"Botchan""""."	この ほん の <b>だいめい</b> は ぼっちゃん です	0	0
4115	word	たんご	How many Japanese words do you know?	にほんご の <b>たんご</b> を いくつ しって います か	0	0
4116	rope	ロープ	I descended the cliff using a rope.	<b>ろーぷ</b> を つかって がけ を おりた ん だ	0	0
4117	merely, simply	たんに	Don't worry, I'm simply sleepy.	しんぱい しない で <b>たんに</b> ねむい だけ です	0	0
4118	spot, point	ちてん	We'll soon be arriving at our destination.	もうすぐ もくひょう の <b>ちてん</b> に とうたつ します	0	0
4119	full marks, perfect score	まんてん	I got full marks on a Japanese test.	こくご の てすと は <b>まんてん</b> でした	0	0
4120	large number, multitude	たすう	There were a lot of applications for the job.	その しごと に <b>たすう</b> の おうぼ が あった よ	0	0
4121	dam	ダム	Now the dam doesn't have a lot of water.	いま <b>だむ</b> の みず が すくない ね	0	0
4122	plural	ふくすう	I have put several reports together in one.	<b>ふくすう</b> の れぽーと を ひとつ に まとめて います	0	0
4123	countless, innumerable	むすう	There are an infinite number of stars in space.	うちゅう に は <b>むすう</b> の ほし が あります	0	0
4124	number of days	にっすう	I'm working many days this month.	こんげつ は しゅっきん <b>にっすう</b> が おおい です	0	0
4125	points, score	てんすう	My test score this time was bad.	こんかい は てすと の <b>てんすう</b> が わるかった	0	0
4126	singular	たんすう	"Pen is the singular and """"pens"""" is the plural."	ぺんは <b>たんすう</b> で ぺんず は ふくすう です	0	0
4127	trouble, bother	てすう	Sorry to trouble you, but please take care of it.	お<b>てすう</b> です が よろしく おねがい します	0	0
4128	down, malfunction	ダウン	The server has crashed.	さーばー が <b>だうん</b> して います	0	0
4129	number of people	にんずう	Please tell me the number of participants.	さんかしゃ の <b>にんずう</b> を おしえて ください	0	0
4130	roundabout way, detour	まわりみち	Today, let's make a detour on the way home.	きょう は <b>まわりみち</b> して かえろう	0	0
4131	number of flat things	まいすう	Please count the number of copies.	こぴー の <b>まいすう</b> を かぞえて ください	0	0
4132	defeat, loss	まけ	This match is your defeat.	この しょうぶ は あなた の <b>まけ</b> です	0	0
4133	training, workout	トレーニング	He works out every day.	かれ は まいにち <b>とれーにんぐ</b> を する の	0	0
4134	burden, charge	ふたん	Transportation costs are covered by the individual.	こうつうひ は こじん <b>ふたん</b> です	0	0
4135	assigning tasks, sharing burden	ぶんたん	We share the housework in my marriage.	わたしたち ふうふ は かじ を <b>ぶんたん</b> して います	0	0
4136	the authorities concerned	とうきょく	The authorities concerned are investigating the incident.	その じけん に ついて は <b>とうきょく</b> が ちょうさ して います	0	0
4137	that day	とうじつ	You can buy admission tickets on the same day.	にゅうじょうけん は <b>とうじつ</b> で も かえます よ	0	0
4138	softly, gently	そっと	The mother quietly patted her daughter's hair.	ははおや は むすめ の かみ を <b>そっと</b> なでた の	0	0
4139	allowance, medical care	てあて	She quickly administered first aid treatment.	かのじょ は いそいで けが の <b>てあて</b> を した よ	0	0
4140	for some time, for the present	とうぶん	It seems she'll be absent from the school for some time.	かのじょ は <b>とうぶん</b> がっこう を やすむ そう です	0	0
4141	the person in question	とうにん	The person concerned seems to be unexpectedly cool.	<b>とうにん</b> は いがい に へいき なよう ね 。	0	0
4142	being on duty, person on duty	とうばん	I'm in charge of the cleaning today.	きょう は わたし が そうじ の <b>とうばん</b> です	0	0
4143	exposure to the sun	ひあたり	This room gets a lot of sunshine.	この へや は <b>ひあたり</b> が いい	0	0
4144	nature	てんねん	This is a natural hot spring.	ここ は <b>てんねん</b> の おんせん です	0	0
4145	logo	マーク	This brand logo is cute.	この ぶらんど の <b>まーく</b> は かわいい です ね	0	0
4146	grammar	ぶんぽう	I'll study English grammar today.	きょう は えいご の <b>ぶんぽう</b> を べんきょう します	0	0
4147	law department	ほうがくぶ	She's a student in the Law Department.	かのじょ は <b>ほうがくぶ</b> の がくせい です	0	0
4148	law, rule	ほうそく	I heard that there are rules to follow in order to win.	しょうり する に は <b>ほうそく</b> が ある そう だ	0	0
4149	irregular	ふきそく	My life has been quite disorganized lately.	さいきん <b>ふきそく</b> な せいかつ を して いる	0	0
4150	only, merely	たった	I only have 1,000 yen in my purse.	さいふ の なか に <b>たった</b> せんえん しか ない よ	0	0
4151	advantageous, profitable	ゆうり	It's advantageous to have qualifications when looking for work.	しかく が ある と しゅうしょく に <b>ゆうり</b> です	0	0
4152	clever, bright	りこう	That dog is very clever.	あの いぬ は とても <b>りこう</b> です ね	0	0
4153	interest	りし	He returned the debt with interest.	しゃっきん に <b>りし</b> を つけて かえした の	0	0
4154	by chance, accidentally	たまたま	I met a friend in the street by chance.	みち で <b>たまたま</b> ともだち に あった	0	0
4155	left-handedness, left-hander	ひだりきき	My son is left-handed.	わたし の むすこ は <b>ひだりきき</b> です	0	0
4156	inadvertently, accidentally@pair	つい	I inadvertently yawned in the meeting.@This pair of trousers and this jacket go together.	かいぎちゅう <b>つい</b> あくび を して しまいました@この ずぼん は うわぎ と <b>つい</b> に なって います	0	0
